[iter 0]: 4021188
[iter 8759] Improved: 4061607
[iter 8775] Improved: 4061609
[iter 8782] Improved: 4061679
[iter 8793] Improved: 4061919
[iter 8800] current best: 4061919
[iter 8847] Improved: 4061922
[iter 8865] Improved: 4061923
[iter 8879] Improved: 4061944
[iter 8882] Improved: 4061984
[iter 8900] current best: 4061984
[iter 8904] Improved: 4062359
[iter 8922] Improved: 4062422
[iter 8936] Improved: 4062424
[iter 8952] Improved: 4062427
[iter 8992] Improved: 4062428
[iter 8999] Improved: 4062429
[iter 9000] current best: 4062429
[iter 9014] Improved: 4062434
[iter 9050] Improved: 4062666
[iter 9062] Improved: 4062667
[iter 9064] Improved: 4062668
[iter 9066] Improved: 4062669
[iter 9076] Improved: 4062677
[iter 9098] Improved: 4062678
[iter 9100] current best: 4062678
[iter 9143] Improved: 4062689
[iter 9160] Improved: 4062726
[iter 9164] Improved: 4062782
[iter 9165] Improved: 4062791
[iter 9169] Improved: 4062807
[iter 9199] Improved: 4062813
[iter 9200] current best: 4062813
[iter 9204] Improved: 4062814
[iter 9230] Improved: 4062860
[iter 9248] Improved: 4062926
[iter 9249] Improved: 4063108
[iter 9261] Improved: 4063136
[iter 9268] Improved: 4063138
[iter 9269] Improved: 4063246
[iter 9272] Improved: 4063252
[iter 9279] Improved: 4063353
[iter 9300] current best: 4063353
[iter 9313] Improved: 4063356
[iter 9370] Improved: 4063460
[iter 9392] Improved: 4063595
[iter 9393] Improved: 4063602
[iter 9400] current best: 4063602
[iter 9421] Improved: 4063701
[iter 9434] Improved: 4063704
[iter 9435] Improved: 4063709
[iter 9443] Improved: 4063732
[iter 9467] Improved: 4063737
[iter 9477] Improved: 4063849
[iter 9481] Improved: 4063943
[iter 9500] current best: 4063943
[iter 9510] Improved: 4063949
[iter 9531] Improved: 4063950
[iter 9537] Improved: 4063980
[iter 9600] current best: 4063980
[iter 9603] Improved: 4064041
[iter 9606] Improved: 4064260
[iter 9616] Improved: 4064263
[iter 9638] Improved: 4064268
[iter 9666] Improved: 4064271
[iter 9673] Improved: 4064329
[iter 9675] Improved: 4064330
[iter 9676] Improved: 4064334
[iter 9679] Improved: 4064343
[iter 9682] Improved: 4064344
[iter 9700] current best: 4064344
[iter 9707] Improved: 4064348
[iter 9720] Improved: 4064349
[iter 9756] Improved: 4064379
[iter 9775] Improved: 4064384
[iter 9798] Improved: 4064404
[iter 9799] Improved: 4064417
[iter 9800] current best: 4064417
[iter 9804] Improved: 4064701
[iter 9824] Improved: 4064780
[iter 9840] Improved: 4064807
[iter 9841] Improved: 4064813
[iter 9842] Improved: 4064856
[iter 9891] Improved: 4064857
[iter 9900] current best: 4064857
[iter 9909] Improved: 4064932
[iter 9919] Improved: 4064934
[iter 9926] Improved: 4065347
[iter 9962] Improved: 4065348
[iter 9974] Improved: 4065440
[iter 9989] Improved: 4065441
[iter 9996] Improved: 4065548
[iter 10000] current best: 4065548
